State,District,Description
Andhra Pradesh,Visakhapatnam,"A major port and industrial hub of Andhra Pradesh."
Andhra Pradesh,Vijayawada,"Known for the Prakasam Barrage and Kanaka Durga Temple."
Arunachal Pradesh,Itanagar,"The capital of Arunachal Pradesh, known for its scenic beauty."
Arunachal Pradesh,Tawang,"Famous for Tawang Monastery, one of the largest monasteries in India."
Assam,Guwahati,"The gateway to Northeast India, famous for Kamakhya Temple."
Assam,Dibrugarh,"Known as the 'Tea City of India.'"
Bihar,Patna,"The capital city, rich in history and culture."
Bihar,Gaya,"Home to the Mahabodhi Temple, an important Buddhist pilgrimage site."
Chhattisgarh,Raipur,"A major industrial center and capital of Chhattisgarh."
Chhattisgarh,Bilaspur,"Famous for its Kosa silk and cultural heritage."
Goa,Panaji,"The capital of Goa, known for its Portuguese heritage."
Goa,Margao,"A cultural hub with colonial-era architecture."
Gujarat,Ahmedabad,"A major economic hub and home to the Sabarmati Ashram."
Gujarat,Surat,"Known as the Diamond City of India."
Haryana,Gurgaon,"An IT and financial hub near Delhi."
Haryana,Faridabad,"An important industrial city in Haryana."
Himachal Pradesh,Shimla,"The picturesque capital and a famous hill station."
Himachal Pradesh,Manali,"A popular tourist destination known for adventure sports."
Jharkhand,Ranchi,"The capital city, known for its waterfalls and greenery."
Jharkhand,Jamshedpur,"An industrial city founded by Tata Steel."
Karnataka,Bangalore,"The Silicon Valley of India and IT hub."
Karnataka,Mysore,"Famous for its palace and Dasara festival."
Kerala,Thiruvananthapuram,"The capital city known for its beaches and temples."
Kerala,Kochi,"A major port city with a blend of cultures."
Madhya Pradesh,Bhopal,"The City of Lakes and capital of Madhya Pradesh."
Madhya Pradesh,Indore,"Known for its street food and cleanliness."
Maharashtra,Mumbai,"The financial capital of India."
Maharashtra,Pune,"An educational and IT hub."
Manipur,Imphal,"The capital city known for Loktak Lake."
Manipur,Bishnupur,"Famous for its ancient temples and rich culture."
Meghalaya,Shillong,"The Scotland of the East and Meghalaya’s capital."
Meghalaya,Cherrapunji,"One of the wettest places on Earth."
Mizoram,Aizawl,"The cultural and political center of Mizoram."
Mizoram,Lunglei,"Known for its scenic landscapes and hill ranges."
Nagaland,Kohima,"The capital city with significant World War II history."
Nagaland,Dimapur,"A commercial hub and gateway to Nagaland."
Odisha,Bhubaneswar,"The Temple City of India and Odisha’s capital."
Odisha,Puri,"Home to the famous Jagannath Temple."
Punjab,Chandigarh,"The shared capital of Punjab and Haryana, known for its urban planning."
Punjab,Amritsar,"Home to the Golden Temple, a major Sikh pilgrimage site."
Rajasthan,Jaipur,"The Pink City and capital of Rajasthan."
Rajasthan,Udaipur,"Known as the City of Lakes."
Sikkim,Gangtok,"The capital city with breathtaking Himalayan views."
Sikkim,Pelling,"Famous for its monasteries and natural beauty."
Tamil Nadu,Chennai,"The cultural capital of South India and a major port city."
Tamil Nadu,Coimbatore,"A major industrial city known for textiles."
Telangana,Hyderabad,"The City of Pearls and a major IT hub."
Telangana,Warangal,"Known for its historic fort and Kakatiya heritage."
Tripura,Agartala,"The capital city with a blend of cultures."
Tripura,Udaipur,"Famous for its ancient temples."
Uttar Pradesh,Lucknow,"The City of Nawabs, known for its culture and cuisine."
Uttar Pradesh,Varanasi,"One of the oldest living cities in the world."
Uttarakhand,Dehradun,"The capital city and an educational hub."
Uttarakhand,Haridwar,"A major pilgrimage site on the banks of the Ganges."
West Bengal,Kolkata,"The cultural capital of India and West Bengal's capital."
West Bengal,Darjeeling,"Famous for its tea gardens and Himalayan views."
